current_week_ending,visit_type,respiratory_category,demographic_group,percent
2024-10-12,Admissions,Broad Acute Respiratory,00_04,0.09999999999999999
2024-10-12,Admissions,Broad Acute Respiratory,05_17,0.17666666666666667
2024-10-12,Admissions,Broad Acute Respiratory,18_44,0.06833333333333334
2024-10-12,Admissions,Broad Acute Respiratory,45_64,0.14666666666666667
2024-10-12,Admissions,Broad Acute Respiratory,65+,0.18833333333333332
2024-10-12,Admissions,Broad Acute Respiratory,All,0.135
2024-10-12,Admissions,Broad Acute Respiratory,Asian Non-Hispanic,0.1366666666666667
2024-10-12,Admissions,Broad Acute Respiratory,Black Non-Hispanic,0.15166666666666667
2024-10-12,Admissions,Broad Acute Respiratory,Hispanic Or Latino,0.12166666666666666
2024-10-12,Admissions,Broad Acute Respiratory,Other Race/Ethnicity,0.14166666666666666
2024-10-12,Admissions,Broad Acute Respiratory,Unknown Race/Ethnicity,0.10333333333333333
2024-10-12,Admissions,Broad Acute Respiratory,White Non-Hispanic,0.12833333333333333
2024-10-12,Admissions,Covid-19,05_17,0.02666666666666667
2024-10-12,Admissions,Covid-19,18_44,0.023333333333333334
2024-10-12,Admissions,Covid-19,45_64,0.022
2024-10-12,Admissions,Covid-19,65+,0.03
2024-10-12,Admissions,Covid-19,All,0.019999999999999997
2024-10-12,Admissions,Covid-19,Asian Non-Hispanic,0.016
2024-10-12,Admissions,Covid-19,Black Non-Hispanic,0.02
2024-10-12,Admissions,Covid-19,Hispanic Or Latino,0.03333333333333333
2024-10-12,Admissions,Covid-19,Other Race/Ethnicity,0.0275
2024-10-12,Admissions,Covid-19,Unknown Race/Ethnicity,0.023333333333333334
2024-10-12,Admissions,Covid-19,White Non-Hispanic,0.024
2024-10-12,Admissions,Ili,00_04,0.013333333333333334
2024-10-12,Admissions,Ili,05_17,0.01
2024-10-12,Admissions,Ili,18_44,0.01
2024-10-12,Admissions,Ili,45_64,0.01
2024-10-12,Admissions,Ili,65+,0.01
2024-10-12,Admissions,Ili,All,0.01
2024-10-12,Admissions,Ili,Asian Non-Hispanic,0.01
2024-10-12,Admissions,Ili,Black Non-Hispanic,0.01
2024-10-12,Admissions,Ili,Hispanic Or Latino,0.01
2024-10-12,Admissions,Ili,Unknown Race/Ethnicity,0.01
2024-10-12,Admissions,Ili,White Non-Hispanic,0.01
2024-10-12,Admissions,Influenza,05_17,0.02
2024-10-12,Admissions,Influenza,Asian Non-Hispanic,0.01
2024-10-12,Admissions,Rsv,00_04,0.04666666666666667
2024-10-12,Admissions,Rsv,05_17,0.016666666666666666
2024-10-12,Admissions,Rsv,All,0.01
2024-10-12,Admissions,Rsv,Asian Non-Hispanic,0.02
2024-10-12,Admissions,Rsv,Black Non-Hispanic,0.01
2024-10-12,Admissions,Rsv,Hispanic Or Latino,0.02
2024-10-12,Admissions,Rsv,Other Race/Ethnicity,0.015
2024-10-12,Admissions,Rsv,Unknown Race/Ethnicity,0.01
2024-10-12,Admissions,Rsv,White Non-Hispanic,0.01
2024-10-12,Ed Visits,Broad Acute Respiratory,00_04,0.30700000000000005
2024-10-12,Ed Visits,Broad Acute Respiratory,05_17,0.152
2024-10-12,Ed Visits,Broad Acute Respiratory,18_44,0.062
2024-10-12,Ed Visits,Broad Acute Respiratory,45_64,0.068
2024-10-12,Ed Visits,Broad Acute Respiratory,65+,0.089
2024-10-12,Ed Visits,Broad Acute Respiratory,Age Unknown,0.18
2024-10-12,Ed Visits,Broad Acute Respiratory,All,0.096
2024-10-12,Ed Visits,Broad Acute Respiratory,Asian Non-Hispanic,0.10900000000000001
2024-10-12,Ed Visits,Broad Acute Respiratory,Black Non-Hispanic,0.099
2024-10-12,Ed Visits,Broad Acute Respiratory,Hispanic Or Latino,0.10800000000000001
2024-10-12,Ed Visits,Broad Acute Respiratory,Other Race/Ethnicity,0.10400000000000001
2024-10-12,Ed Visits,Broad Acute Respiratory,Unknown Race/Ethnicity,0.074
2024-10-12,Ed Visits,Broad Acute Respiratory,White Non-Hispanic,0.086
2024-10-12,Ed Visits,Covid-19,00_04,0.01
2024-10-12,Ed Visits,Covid-19,05_17,0.01
2024-10-12,Ed Visits,Covid-19,18_44,0.016666666666666666
2024-10-12,Ed Visits,Covid-19,45_64,0.015000000000000001
2024-10-12,Ed Visits,Covid-19,65+,0.02
2024-10-12,Ed Visits,Covid-19,All,0.015000000000000001
2024-10-12,Ed Visits,Covid-19,Asian Non-Hispanic,0.025
2024-10-12,Ed Visits,Covid-19,Black Non-Hispanic,0.01
2024-10-12,Ed Visits,Covid-19,Hispanic Or Latino,0.015
2024-10-12,Ed Visits,Covid-19,Other Race/Ethnicity,0.015
2024-10-12,Ed Visits,Covid-19,Unknown Race/Ethnicity,0.016666666666666666
2024-10-12,Ed Visits,Covid-19,White Non-Hispanic,0.016
2024-10-12,Ed Visits,Ili,00_04,0.063
2024-10-12,Ed Visits,Ili,05_17,0.033
2024-10-12,Ed Visits,Ili,18_44,0.011
2024-10-12,Ed Visits,Ili,45_64,0.01
2024-10-12,Ed Visits,Ili,65+,0.01
2024-10-12,Ed Visits,Ili,All,0.015
2024-10-12,Ed Visits,Ili,Asian Non-Hispanic,0.016666666666666666
2024-10-12,Ed Visits,Ili,Black Non-Hispanic,0.018
2024-10-12,Ed Visits,Ili,Hispanic Or Latino,0.020999999999999998
2024-10-12,Ed Visits,Ili,Other Race/Ethnicity,0.014000000000000002
2024-10-12,Ed Visits,Ili,Unknown Race/Ethnicity,0.012
2024-10-12,Ed Visits,Ili,White Non-Hispanic,0.011111111111111112
2024-10-12,Ed Visits,Influenza,00_04,0.01
2024-10-12,Ed Visits,Influenza,05_17,0.01
2024-10-12,Ed Visits,Influenza,Asian Non-Hispanic,0.01
2024-10-12,Ed Visits,Rsv,00_04,0.034
2024-10-12,Ed Visits,Rsv,05_17,0.01
2024-10-12,Ed Visits,Rsv,All,0.01
2024-10-12,Ed Visits,Rsv,Asian Non-Hispanic,0.01
2024-10-12,Ed Visits,Rsv,Black Non-Hispanic,0.01
2024-10-12,Ed Visits,Rsv,Hispanic Or Latino,0.02
2024-10-12,Ed Visits,Rsv,Other Race/Ethnicity,0.01
2024-10-12,Ed Visits,Rsv,Unknown Race/Ethnicity,0.02
2024-10-12,Ed Visits,Rsv,White Non-Hispanic,0.01
2024-10-12,Outpatient Visits,Ili,All,0.019
2024-10-19,Admissions,Broad Acute Respiratory,00_04,0.12166666666666666
2024-10-19,Admissions,Broad Acute Respiratory,05_17,0.18166666666666667
2024-10-19,Admissions,Broad Acute Respiratory,18_44,0.06833333333333334
2024-10-19,Admissions,Broad Acute Respiratory,45_64,0.15333333333333335
2024-10-19,Admissions,Broad Acute Respiratory,65+,0.18333333333333335
2024-10-19,Admissions,Broad Acute Respiratory,Age Unknown,1.0
2024-10-19,Admissions,Broad Acute Respiratory,All,0.13833333333333334
2024-10-19,Admissions,Broad Acute Respiratory,Asian Non-Hispanic,0.125
2024-10-19,Admissions,Broad Acute Respiratory,Black Non-Hispanic,0.15333333333333335
2024-10-19,Admissions,Broad Acute Respiratory,Hispanic Or Latino,0.13333333333333333
2024-10-19,Admissions,Broad Acute Respiratory,Other Race/Ethnicity,0.13166666666666668
2024-10-19,Admissions,Broad Acute Respiratory,Unknown Race/Ethnicity,0.10166666666666668
2024-10-19,Admissions,Broad Acute Respiratory,White Non-Hispanic,0.12333333333333334
2024-10-19,Admissions,Covid-19,00_04,0.01
2024-10-19,Admissions,Covid-19,05_17,0.0125
2024-10-19,Admissions,Covid-19,18_44,0.015
2024-10-19,Admissions,Covid-19,45_64,0.026000000000000002
2024-10-19,Admissions,Covid-19,65+,0.03
2024-10-19,Admissions,Covid-19,All,0.024
2024-10-19,Admissions,Covid-19,Asian Non-Hispanic,0.022
2024-10-19,Admissions,Covid-19,Black Non-Hispanic,0.018
2024-10-19,Admissions,Covid-19,Hispanic Or Latino,0.030000000000000002
2024-10-19,Admissions,Covid-19,Other Race/Ethnicity,0.024
2024-10-19,Admissions,Covid-19,Unknown Race/Ethnicity,0.0225
2024-10-19,Admissions,Covid-19,White Non-Hispanic,0.022
2024-10-19,Admissions,Ili,00_04,0.0125
2024-10-19,Admissions,Ili,05_17,0.016666666666666666
2024-10-19,Admissions,Ili,45_64,0.01
2024-10-19,Admissions,Ili,65+,0.01
2024-10-19,Admissions,Ili,All,0.01
2024-10-19,Admissions,Ili,Asian Non-Hispanic,0.01
2024-10-19,Admissions,Ili,Black Non-Hispanic,0.01
2024-10-19,Admissions,Ili,Hispanic Or Latino,0.01
2024-10-19,Admissions,Ili,Other Race/Ethnicity,0.01
2024-10-19,Admissions,Influenza,05_17,0.01
2024-10-19,Admissions,Influenza,Asian Non-Hispanic,0.01
2024-10-19,Admissions,Influenza,Other Race/Ethnicity,0.01
2024-10-19,Admissions,Rsv,00_04,0.037500000000000006
2024-10-19,Admissions,Rsv,05_17,0.02
2024-10-19,Admissions,Rsv,All,0.01
2024-10-19,Admissions,Rsv,Asian Non-Hispanic,0.02
2024-10-19,Admissions,Rsv,Black Non-Hispanic,0.01
2024-10-19,Admissions,Rsv,Hispanic Or Latino,0.015
2024-10-19,Admissions,Rsv,Other Race/Ethnicity,0.015
2024-10-19,Admissions,Rsv,Unknown Race/Ethnicity,0.01
2024-10-19,Admissions,Rsv,White Non-Hispanic,0.01
2024-10-19,Ed Visits,Broad Acute Respiratory,00_04,0.318
2024-10-19,Ed Visits,Broad Acute Respiratory,05_17,0.162
2024-10-19,Ed Visits,Broad Acute Respiratory,18_44,0.065
2024-10-19,Ed Visits,Broad Acute Respiratory,45_64,0.071
2024-10-19,Ed Visits,Broad Acute Respiratory,65+,0.088
2024-10-19,Ed Visits,Broad Acute Respiratory,Age Unknown,0.1
2024-10-19,Ed Visits,Broad Acute Respiratory,All,0.1
2024-10-19,Ed Visits,Broad Acute Respiratory,Asian Non-Hispanic,0.119
2024-10-19,Ed Visits,Broad Acute Respiratory,Black Non-Hispanic,0.10200000000000001
2024-10-19,Ed Visits,Broad Acute Respiratory,Hispanic Or Latino,0.118
2024-10-19,Ed Visits,Broad Acute Respiratory,Other Race/Ethnicity,0.10600000000000001
2024-10-19,Ed Visits,Broad Acute Respiratory,Unknown Race/Ethnicity,0.071
2024-10-19,Ed Visits,Broad Acute Respiratory,White Non-Hispanic,0.088
2024-10-19,Ed Visits,Covid-19,00_04,0.0125
2024-10-19,Ed Visits,Covid-19,05_17,0.01
2024-10-19,Ed Visits,Covid-19,18_44,0.01
2024-10-19,Ed Visits,Covid-19,45_64,0.02
2024-10-19,Ed Visits,Covid-19,65+,0.022
2024-10-19,Ed Visits,Covid-19,All,0.015
2024-10-19,Ed Visits,Covid-19,Asian Non-Hispanic,0.018
2024-10-19,Ed Visits,Covid-19,Black Non-Hispanic,0.01
2024-10-19,Ed Visits,Covid-19,Hispanic Or Latino,0.0175
2024-10-19,Ed Visits,Covid-19,Other Race/Ethnicity,0.0175
2024-10-19,Ed Visits,Covid-19,Unknown Race/Ethnicity,0.015
2024-10-19,Ed Visits,Covid-19,White Non-Hispanic,0.014000000000000002
2024-10-19,Ed Visits,Ili,00_04,0.063
2024-10-19,Ed Visits,Ili,05_17,0.032
2024-10-19,Ed Visits,Ili,18_44,0.01
2024-10-19,Ed Visits,Ili,45_64,0.01
2024-10-19,Ed Visits,Ili,65+,0.01
2024-10-19,Ed Visits,Ili,All,0.017
2024-10-19,Ed Visits,Ili,Asian Non-Hispanic,0.025714285714285714
2024-10-19,Ed Visits,Ili,Black Non-Hispanic,0.015
2024-10-19,Ed Visits,Ili,Hispanic Or Latino,0.022
2024-10-19,Ed Visits,Ili,Other Race/Ethnicity,0.014444444444444446
2024-10-19,Ed Visits,Ili,Unknown Race/Ethnicity,0.015
2024-10-19,Ed Visits,Ili,White Non-Hispanic,0.011
2024-10-19,Ed Visits,Influenza,00_04,0.01
2024-10-19,Ed Visits,Influenza,05_17,0.01
2024-10-19,Ed Visits,Influenza,Asian Non-Hispanic,0.01
2024-10-19,Ed Visits,Influenza,Hispanic Or Latino,0.01
2024-10-19,Ed Visits,Influenza,Other Race/Ethnicity,0.01
2024-10-19,Ed Visits,Rsv,00_04,0.034
2024-10-19,Ed Visits,Rsv,05_17,0.01
2024-10-19,Ed Visits,Rsv,All,0.01
2024-10-19,Ed Visits,Rsv,Asian Non-Hispanic,0.02
2024-10-19,Ed Visits,Rsv,Black Non-Hispanic,0.01
2024-10-19,Ed Visits,Rsv,Hispanic Or Latino,0.02
2024-10-19,Ed Visits,Rsv,Other Race/Ethnicity,0.01
2024-10-19,Ed Visits,Rsv,Unknown Race/Ethnicity,0.02
2024-10-19,Ed Visits,Rsv,White Non-Hispanic,0.01
2024-10-19,Outpatient Visits,Ili,All,0.02
2024-10-26,Admissions,Broad Acute Respiratory,00_04,0.11499999999999999
2024-10-26,Admissions,Broad Acute Respiratory,05_17,0.21166666666666667
2024-10-26,Admissions,Broad Acute Respiratory,18_44,0.065
2024-10-26,Admissions,Broad Acute Respiratory,45_64,0.155
2024-10-26,Admissions,Broad Acute Respiratory,65+,0.18500000000000003
2024-10-26,Admissions,Broad Acute Respiratory,All,0.1366666666666667
2024-10-26,Admissions,Broad Acute Respiratory,Asian Non-Hispanic,0.12166666666666666
2024-10-26,Admissions,Broad Acute Respiratory,Black Non-Hispanic,0.155
2024-10-26,Admissions,Broad Acute Respiratory,Hispanic Or Latino,0.13
2024-10-26,Admissions,Broad Acute Respiratory,Other Race/Ethnicity,0.12
2024-10-26,Admissions,Broad Acute Respiratory,Unknown Race/Ethnicity,0.10166666666666667
2024-10-26,Admissions,Broad Acute Respiratory,White Non-Hispanic,0.12833333333333333
2024-10-26,Admissions,Covid-19,00_04,0.01
2024-10-26,Admissions,Covid-19,05_17,0.02
2024-10-26,Admissions,Covid-19,18_44,0.023333333333333334
2024-10-26,Admissions,Covid-19,45_64,0.04
2024-10-26,Admissions,Covid-19,65+,0.038
2024-10-26,Admissions,Covid-19,All,0.0325
2024-10-26,Admissions,Covid-19,Asian Non-Hispanic,0.025
2024-10-26,Admissions,Covid-19,Black Non-Hispanic,0.0275
2024-10-26,Admissions,Covid-19,Hispanic Or Latino,0.042499999999999996
2024-10-26,Admissions,Covid-19,Other Race/Ethnicity,0.0275
2024-10-26,Admissions,Covid-19,Unknown Race/Ethnicity,0.02666666666666667
2024-10-26,Admissions,Covid-19,White Non-Hispanic,0.028000000000000004
2024-10-26,Admissions,Ili,00_04,0.023333333333333334
2024-10-26,Admissions,Ili,05_17,0.013333333333333334
2024-10-26,Admissions,Ili,18_44,0.01
2024-10-26,Admissions,Ili,45_64,0.01
2024-10-26,Admissions,Ili,65+,0.01
2024-10-26,Admissions,Ili,All,0.01
2024-10-26,Admissions,Ili,Asian Non-Hispanic,0.01
2024-10-26,Admissions,Ili,Black Non-Hispanic,0.01
2024-10-26,Admissions,Ili,Hispanic Or Latino,0.01
2024-10-26,Admissions,Ili,Other Race/Ethnicity,0.012
2024-10-26,Admissions,Ili,Unknown Race/Ethnicity,0.01
2024-10-26,Admissions,Ili,White Non-Hispanic,0.01
2024-10-26,Admissions,Influenza,05_17,0.02
2024-10-26,Admissions,Influenza,Asian Non-Hispanic,0.01
2024-10-26,Admissions,Rsv,00_04,0.022
2024-10-26,Admissions,Rsv,05_17,0.02
2024-10-26,Admissions,Rsv,All,0.01
2024-10-26,Admissions,Rsv,Asian Non-Hispanic,0.01
2024-10-26,Admissions,Rsv,Black Non-Hispanic,0.01
2024-10-26,Admissions,Rsv,Hispanic Or Latino,0.02
2024-10-26,Admissions,Rsv,Other Race/Ethnicity,0.01
2024-10-26,Admissions,Rsv,Unknown Race/Ethnicity,0.01
2024-10-26,Admissions,Rsv,White Non-Hispanic,0.01
2024-10-26,Ed Visits,Broad Acute Respiratory,00_04,0.33999999999999997
2024-10-26,Ed Visits,Broad Acute Respiratory,05_17,0.174
2024-10-26,Ed Visits,Broad Acute Respiratory,18_44,0.069
2024-10-26,Ed Visits,Broad Acute Respiratory,45_64,0.073
2024-10-26,Ed Visits,Broad Acute Respiratory,65+,0.096
2024-10-26,Ed Visits,Broad Acute Respiratory,Age Unknown,0.04
2024-10-26,Ed Visits,Broad Acute Respiratory,All,0.10700000000000001
2024-10-26,Ed Visits,Broad Acute Respiratory,Asian Non-Hispanic,0.11600000000000002
2024-10-26,Ed Visits,Broad Acute Respiratory,Black Non-Hispanic,0.10900000000000001
2024-10-26,Ed Visits,Broad Acute Respiratory,Hispanic Or Latino,0.125
2024-10-26,Ed Visits,Broad Acute Respiratory,Other Race/Ethnicity,0.11200000000000002
2024-10-26,Ed Visits,Broad Acute Respiratory,Unknown Race/Ethnicity,0.081
2024-10-26,Ed Visits,Broad Acute Respiratory,White Non-Hispanic,0.093
2024-10-26,Ed Visits,Covid-19,00_04,0.012
2024-10-26,Ed Visits,Covid-19,05_17,0.01
2024-10-26,Ed Visits,Covid-19,18_44,0.015
2024-10-26,Ed Visits,Covid-19,45_64,0.0225
2024-10-26,Ed Visits,Covid-19,65+,0.028000000000000004
2024-10-26,Ed Visits,Covid-19,All,0.02
2024-10-26,Ed Visits,Covid-19,Asian Non-Hispanic,0.03
2024-10-26,Ed Visits,Covid-19,Black Non-Hispanic,0.0175
2024-10-26,Ed Visits,Covid-19,Hispanic Or Latino,0.0225
2024-10-26,Ed Visits,Covid-19,Other Race/Ethnicity,0.0225
2024-10-26,Ed Visits,Covid-19,Unknown Race/Ethnicity,0.0175
2024-10-26,Ed Visits,Covid-19,White Non-Hispanic,0.02
2024-10-26,Ed Visits,Ili,00_04,0.067
2024-10-26,Ed Visits,Ili,05_17,0.037
2024-10-26,Ed Visits,Ili,18_44,0.01
2024-10-26,Ed Visits,Ili,45_64,0.01
2024-10-26,Ed Visits,Ili,65+,0.01
2024-10-26,Ed Visits,Ili,All,0.017
2024-10-26,Ed Visits,Ili,Asian Non-Hispanic,0.017777777777777778
2024-10-26,Ed Visits,Ili,Black Non-Hispanic,0.016
2024-10-26,Ed Visits,Ili,Hispanic Or Latino,0.02
2024-10-26,Ed Visits,Ili,Other Race/Ethnicity,0.020000000000000004
2024-10-26,Ed Visits,Ili,Unknown Race/Ethnicity,0.015555555555555557
2024-10-26,Ed Visits,Ili,White Non-Hispanic,0.013000000000000001
2024-10-26,Ed Visits,Influenza,00_04,0.01
2024-10-26,Ed Visits,Influenza,05_17,0.02
2024-10-26,Ed Visits,Influenza,18_44,0.01
2024-10-26,Ed Visits,Influenza,All,0.01
2024-10-26,Ed Visits,Influenza,Asian Non-Hispanic,0.01
2024-10-26,Ed Visits,Influenza,Black Non-Hispanic,0.01
2024-10-26,Ed Visits,Influenza,Hispanic Or Latino,0.01
2024-10-26,Ed Visits,Influenza,Other Race/Ethnicity,0.01
2024-10-26,Ed Visits,Influenza,Unknown Race/Ethnicity,0.01
2024-10-26,Ed Visits,Influenza,White Non-Hispanic,0.01
2024-10-26,Ed Visits,Rsv,00_04,0.038
2024-10-26,Ed Visits,Rsv,05_17,0.01
2024-10-26,Ed Visits,Rsv,All,0.01
2024-10-26,Ed Visits,Rsv,Asian Non-Hispanic,0.015
2024-10-26,Ed Visits,Rsv,Black Non-Hispanic,0.01
2024-10-26,Ed Visits,Rsv,Hispanic Or Latino,0.015
2024-10-26,Ed Visits,Rsv,Other Race/Ethnicity,0.015
2024-10-26,Ed Visits,Rsv,Unknown Race/Ethnicity,0.01
2024-10-26,Ed Visits,Rsv,White Non-Hispanic,0.01
2024-10-26,Outpatient Visits,Ili,All,0.023333333333333334
2024-11-02,Admissions,Broad Acute Respiratory,00_04,0.13166666666666668
2024-11-02,Admissions,Broad Acute Respiratory,05_17,0.18166666666666667
2024-11-02,Admissions,Broad Acute Respiratory,18_44,0.07333333333333335
2024-11-02,Admissions,Broad Acute Respiratory,45_64,0.16666666666666666
2024-11-02,Admissions,Broad Acute Respiratory,65+,0.19666666666666666
2024-11-02,Admissions,Broad Acute Respiratory,Age Unknown,0.67
2024-11-02,Admissions,Broad Acute Respiratory,All,0.1466666666666667
2024-11-02,Admissions,Broad Acute Respiratory,Asian Non-Hispanic,0.13333333333333333
2024-11-02,Admissions,Broad Acute Respiratory,Black Non-Hispanic,0.15666666666666665
2024-11-02,Admissions,Broad Acute Respiratory,Hispanic Or Latino,0.14333333333333334
2024-11-02,Admissions,Broad Acute Respiratory,Other Race/Ethnicity,0.16166666666666665
2024-11-02,Admissions,Broad Acute Respiratory,Unknown Race/Ethnicity,0.12
2024-11-02,Admissions,Broad Acute Respiratory,White Non-Hispanic,0.14
2024-11-02,Admissions,Covid-19,00_04,0.01
2024-11-02,Admissions,Covid-19,05_17,0.035
2024-11-02,Admissions,Covid-19,18_44,0.0275
2024-11-02,Admissions,Covid-19,45_64,0.045
2024-11-02,Admissions,Covid-19,65+,0.048
2024-11-02,Admissions,Covid-19,All,0.042499999999999996
2024-11-02,Admissions,Covid-19,Asian Non-Hispanic,0.032
2024-11-02,Admissions,Covid-19,Black Non-Hispanic,0.03
2024-11-02,Admissions,Covid-19,Hispanic Or Latino,0.0525
2024-11-02,Admissions,Covid-19,Other Race/Ethnicity,0.04
2024-11-02,Admissions,Covid-19,Unknown Race/Ethnicity,0.0375
2024-11-02,Admissions,Covid-19,White Non-Hispanic,0.032
2024-11-02,Admissions,Ili,00_04,0.0225
2024-11-02,Admissions,Ili,05_17,0.02
2024-11-02,Admissions,Ili,18_44,0.01
2024-11-02,Admissions,Ili,45_64,0.01
2024-11-02,Admissions,Ili,65+,0.01
2024-11-02,Admissions,Ili,All,0.01
2024-11-02,Admissions,Ili,Asian Non-Hispanic,0.015000000000000001
2024-11-02,Admissions,Ili,Black Non-Hispanic,0.01
2024-11-02,Admissions,Ili,Hispanic Or Latino,0.012
2024-11-02,Admissions,Ili,Other Race/Ethnicity,0.01
2024-11-02,Admissions,Ili,Unknown Race/Ethnicity,0.01
