mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-11-23
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-11-16
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.12,2024-10-12
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,00_04,0.01,2024-10-19
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.26,2024-10-19
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.13,2024-10-26
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.15,2024-10-05
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.14,2024-11-30
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.23,2024-10-12
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.18,2024-11-09
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,00_04,0.01,2024-10-26
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.12,2024-10-19
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Age Group,00_04,0.01,2024-10-05
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2024-11-09
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.23,2024-10-26
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.12,2024-10-19
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.03,2024-10-19
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2024-10-26
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2024-10-19
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.14,2024-10-19
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-19
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,05_17,0.01,2024-10-12
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-10-19
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-10-05
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-16
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-19
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-10-26
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-11-30
202444,44,2024-10-27,2024-11-02,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-11-02
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.1,2024-10-12
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.09,2024-11-09
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.22,2024-11-23
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.23,2024-11-09
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.19,2024-11-02
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-11-02
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,Age Unknown,0.14,2024-11-30
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,00_04,0.02,2024-11-02
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-09
202140,40,2021-10-03,2021-10-09,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.02,2024-10-05
202251,51,2022-12-18,2022-12-24,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,05_17,0.01,2024-12-21
201810,10,2018-03-04,2018-03-10,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.09,2025-03-08
201708,8,2017-02-19,2017-02-25,2016-2017,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,All,All,0.02,2025-02-22
202445,45,2024-11-03,2024-11-09,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-11-09
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-23
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-23
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,05_17,0.01,2024-11-02
201952,52,2019-12-22,2019-12-28,2019-2020,Essence,Cdc Influenza Dd V1,Influenza,Admissions,All,All,0.02,2024-12-28
202007,7,2020-02-09,2020-02-15,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.14,2025-02-15
202427,27,2024-06-30,2024-07-06,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,All,All,0.12,2025-07-05
202416,16,2024-04-14,2024-04-20,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2025-04-19
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,Age Unknown,0.33,2024-11-09
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-09
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-26
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-02
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Age Group,05_17,0.01,2024-11-02
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.16,2024-10-19
202446,46,2024-11-10,2024-11-16,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-11-16
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.12,2024-10-26
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,00_04,0.28,2024-10-05
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Hispanic Or Latino,0.01,2024-11-02
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-30
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-30
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-11-30
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-30
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
202449,49,2024-12-01,2024-12-07,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-12-07
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.11,2024-11-30
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-30
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-02
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-02
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.13,2024-11-02
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.2,2024-12-07
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-30
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.13,2024-11-30
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-11-09
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-14
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.02,2024-12-14
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Age Group,05_17,0.03,2024-12-14
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-11-09
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-11-16
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.12,2024-12-07
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-12-07
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.22,2024-11-16
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,05_17,0.01,2024-12-14
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Age Group,05_17,0.01,2024-11-16
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.02,2024-12-14
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.13,2024-10-12
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-14
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-14
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,05_17,0.01,2024-11-16
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.16,2024-12-07
202451,51,2024-12-15,2024-12-21,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.02,2024-12-21
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.12,2024-11-23
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.09,2024-11-23
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-11-16
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-16
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.1,2024-11-02
202449,49,2024-12-01,2024-12-07,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.14,2024-12-07
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.26,2024-12-14
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.14,2024-11-23
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-16
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.14,2024-11-02
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,00_04,0.01,2024-11-23
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.11,2024-11-16
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.17,2024-11-23
202450,50,2024-12-08,2024-12-14,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-12-14
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.12,2024-11-16
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.18,2024-10-05
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,00_04,0.04,2024-11-23
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Age Group,05_17,0.01,2024-12-21
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2024-12-21
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-12-21
202452,52,2024-12-22,2024-12-28,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.4,2024-12-28
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-21
202448,48,2024-11-24,2024-11-30,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.14,2024-11-30
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Age Group,05_17,0.06,2024-12-21
202451,51,2024-12-15,2024-12-21,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-12-21
